"Местное время во Владимире";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2011 22:00";"-1.0";"743.3";"759.4";"";"97";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-0.3";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.4";"1.0";"12";"";"";"";""
"31.12.2011 19:00";"-0.9";"743.1";"759.2";"";"95";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.6";"1.0";"12";"";"";"";""
"31.12.2011 16:00";"-0.6";"742.4";"758.6";"";"96";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Снег неливневый. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.2";"";"";"";"";"";""
"31.12.2011 13:00";"-0.4";"742.2";"758.3";"";"96";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Снег и/или другие виды твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.0";"";"";"";"";"";""
"31.12.2011 10:00";"-0.5";"741.8";"757.9";"";"96";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.4";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.1";"1.0";"12";"";"";"";""
"31.12.2011 07:00";"-0.4";"741.2";"757.3";"";"96";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.0";"1.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"8.0"
"31.12.2011 04:00";"0.2";"741.5";"757.6";"";"96";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"4.0";"-0.4";"";"";"";"";"";""
"31.12.2011 01:00";"0.3";"741.8";"758.0";"";"96";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"70 – 80%.";"200-300";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-0.3";"";"";"";"";"";""
"30.12.2011 22:00";"0.5";"742.0";"758.2";"";"94";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"0.7";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"70 – 80%.";"200-300";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-0.3";"Следы осадков";"12";"";"";"";""
"30.12.2011 19:00";"0.6";"741.5";"757.6";"";"94";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"70 – 80%.";"200-300";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-0.2";"Следы осадков";"12";"";"";"";""
